Day,Open,High,Low,Close,Volume,Market Cap
26/07/2023,23.3054,25.518,23.2368,25.1912,2188134033,9759733924
25/07/2023,23.415,23.5735,22.9114,23.3321,1832467695,9377303803
24/07/2023,24.7343,24.8547,23.0979,23.4459,1686712219,9624659351
23/07/2023,24.4822,25.2341,24.3036,24.82,1801625853,9973014284
22/07/2023,25.5646,25.9714,24.3325,24.5421,1764781617,10314894670
21/07/2023,25.3562,25.9794,25.1289,25.6027,2515255044,10255955220
20/07/2023,26.3625,27.3708,25.1888,25.3756,3132963668,10612639861
19/07/2023,25.5397,26.948,25.4349,26.3998,3467496047,10611987787
18/07/2023,26.7562,27.0613,24.891,25.5661,4114417963,10389611117
17/07/2023,27.4113,28.459,25.8849,26.9021,3496833718,10957156736
16/07/2023,27.7016,28.57,26.9409,27.4262,4075816080,11178621706
15/07/2023,26.7327,29.0289,26.623,27.3652,6463678376,11256537901
14/07/2023,25.9713,30.0831,25.3321,26.7565,9355394359,11194086666
13/07/2023,21.9545,26.4517,21.5142,26.0046,3696321903,9348834473
12/07/2023,22.0554,22.7066,21.8746,21.996,2171591702,8914462255
11/07/2023,21.3247,22.2867,21.2463,22.0907,2601083738,8830317302
10/07/2023,21.3358,21.761,20.6133,21.3299,2368651840,8465871574
09/07/2023,21.8414,22.325,21.1095,21.3666,2977356696,8632885346
08/07/2023,21.4965,22.4001,21.3519,21.9068,4887078299,8723107476
07/07/2023,19.6796,21.5905,19.3611,21.4506,6410902199,8243413718
06/07/2023,19.0304,20.9836,18.9885,19.9038,2970295054,7967491701
05/07/2023,19.1783,19.4125,18.6244,19.1989,1631685402,7626745593
04/07/2023,19.2502,20.0854,19.1745,19.3576,1386754878,7793090903
03/07/2023,19.4543,19.6093,19.0574,19.4198,2044310474,7753632240
02/07/2023,18.737,19.7994,18.5982,19.5604,2037694552,7680908472
01/07/2023,18.9422,18.989,17.9663,18.8017,3589512409,7375952639
30/06/2023,17.9908,19.9127,17.7284,18.9835,4451407674,7524148714
29/06/2023,15.9768,18.2691,15.9152,18.1015,2333871255,6850650840
28/06/2023,16.6079,16.6079,15.855,16.1438,2089710224,6494991203
27/06/2023,16.2554,17.1378,16.2096,16.8689,1008432744,6686536366
26/06/2023,16.8785,17.3564,16.3416,16.6242,780636008.5,6739158053
25/06/2023,16.65,18.3475,16.6292,17.3313,1702236684,6958612743
24/06/2023,17.1299,17.556,16.7011,17.0359,1062380192,6869808739
23/06/2023,16.6886,17.7284,16.5082,17.3782,874367451.3,6788382623
22/06/2023,17.2847,17.7331,16.8388,16.9483,1018948587,6905146126
21/06/2023,16.5915,17.5901,16.5915,17.4703,1076200890,6805148691
20/06/2023,16.0926,16.9305,15.9969,16.9305,884723449.3,6499589478
19/06/2023,15.4938,16.4075,15.4646,16.4075,717048998.6,6322686872
18/06/2023,15.668,16.2863,15.505,15.9112,693428764.3,6337196733
17/06/2023,15.3063,16.1667,15.2333,16.0127,1025362450,6311502200
16/06/2023,14.7289,15.6555,14.6646,15.6182,1087012375,6009625965
15/06/2023,14.4734,15.1932,14.3747,14.975,1276551657,5891224350
14/06/2023,15.0564,15.6251,14.5001,14.7661,1076181203,6059409269
13/06/2023,15.2177,16.0096,14.9814,15.2539,1295051683,6110824843
12/06/2023,15.5311,15.741,14.9488,15.3956,1391276268,6110973067
11/06/2023,15.6072,16.261,15.2938,15.7669,2172553305,6231303954
10/06/2023,17.3763,17.3763,13.7061,15.7298,2892616373,6096906501
09/06/2023,18.9304,19.5522,17.4041,17.6444,855929727.9,7433960222
08/06/2023,18.6195,19.3505,18.3627,19.2529,966455806.6,7508239949
07/06/2023,20.3912,20.6036,18.8317,18.9443,1052435695,7873537840
06/06/2023,20.0306,21.2391,19.4588,20.7042,1222025316,8017895781
05/06/2023,21.833,22.0891,19.6911,20.2874,1063540070,8426994735
04/06/2023,21.2997,22.6375,21.2052,22.1889,601276919.8,8754108712
03/06/2023,21.3168,21.8711,21.2123,21.8677,536088692.2,8533848252
02/06/2023,20.5588,21.7955,20.4828,21.7219,652145227.7,8460237575
01/06/2023,20.8757,21.2506,20.5857,21.0139,633479377.7,8319312976
31/05/2023,21.3066,21.3689,20.6848,21.2687,879374627.6,8314988823
30/05/2023,20.6262,21.6431,20.5714,21.5589,842775333.1,8421596442
29/05/2023,20.8553,21.0795,20.5844,21.0325,749215492.1,8278957396
28/05/2023,20.9899,21.4545,20.3959,21.1711,788306519.1,8251147875
27/05/2023,20.0242,21.0615,19.4533,20.9764,452514842.1,7957597946
26/05/2023,19.78,20.0926,19.2887,20.0292,513054145.3,7818466307
25/05/2023,19.5719,19.8158,18.9686,19.7813,776060749.2,7751528132
24/05/2023,20.4777,20.4777,19.2158,19.5835,789368139.5,7775728195
23/05/2023,20.0243,20.5242,19.5335,20.484,723034602.6,7983336608
22/05/2023,20.1687,20.2647,19.5004,20.0306,694277089.6,7893997134
21/05/2023,21.0697,21.0697,20.0871,20.1662,423984080,8134317327
20/05/2023,21.0065,21.0666,20.3187,21.0666,436208635.1,8185906195
19/05/2023,20.7713,21.0093,20.3663,20.9909,612424487.8,8200791895
18/05/2023,21.4274,21.4274,20.531,20.76,745467016.2,8285318102
17/05/2023,21.1119,21.518,20.6609,21.429,716861261.9,8318547212
16/05/2023,21.3779,21.3779,20.8022,21.1085,714568238,8337416875
15/05/2023,21.4839,21.7717,20.7553,21.3816,723662050.4,8499032432
14/05/2023,21.2818,21.6032,20.7618,21.4799,639728090.4,8397758343
13/05/2023,21.1825,21.4143,20.8877,21.2881,912253264.3,8354074444
12/05/2023,20.4802,21.1902,19.984,21.1729,1026036099,8073659320
11/05/2023,21.1991,21.1991,20.0097,20.5459,1219159100,8099904036
10/05/2023,21.0678,21.5321,20.3913,21.2296,921857760.9,8293628216
09/05/2023,20.9396,21.2775,20.676,21.0762,1098540721,8245335309
08/05/2023,22.1115,22.1115,20.4793,20.9678,1288289394,8409215320
07/05/2023,22.2371,23.0738,21.8961,22.2732,834252223.1,8844948707
